,response,numConf,qualConf,socialAnswer,socialNumConf,socialQualConf,answer,states,id,gender,politics,education,age,socialSize,socialInfo,correct_start,difficulty,pol_recode,gender_recode,edu_recode,age_recode,id_recode,state_recode
1,True,100.0,I am unsure if it is correct,True,96.0,It is probably correct,True,SD,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,15.0,78.0,True,0.7027027027027027,1,1,1,2,190,40
2,True,94.0,I am unsure if it is correct,True,100.0,I am unsure if it is correct,True,Hi,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,6.0,67.0,True,0.8701298701298701,1,1,1,2,190,10
5,True,98.0,I am unsure if it is correct,True,85.0,I am unsure if it is correct,True,OH,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,15.0,67.0,True,0.9571428571428572,1,1,1,2,190,34
7,True,97.0,It is probably correct,True,94.0,It is probably correct,True,ME,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,4.0,70.0,True,0.6941176470588235,1,1,1,2,190,20
11,True,98.0,It is certainly correct,True,96.0,It is certainly correct,True,IN,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,8.0,72.0,True,0.9047619047619048,1,1,1,2,190,13
12,True,99.0,It is probably correct,True,93.0,It is probably correct,True,NM,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,7.0,62.0,True,0.7671232876712328,1,1,1,2,190,31
17,True,100.0,It is probably correct,True,97.0,It is certainly correct,True,VT,785607b7-fa3a-ed8c-abaf-317d3f2c3561,Male,Very Conservative,Graduate Degree or Higher,25-34,5.0,22.0,True,0.7435897435897436,1,1,1,2,190,45
1,False,100.0,It is certainly correct,False,100.0,It is certainly correct,True,CO,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,13.0,22.0,False,0.8518518518518519,3,1,2,5,365,5
2,True,50.0,I am unsure if it is correct,False,50.0,I am unsure if it is correct,True,DE,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,12.0,28.0,True,0.7764705882352941,3,1,2,5,365,7
3,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,TX,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,7.0,45.0,True,0.8095238095238095,3,1,2,5,365,42
4,True,50.0,I am unsure if it is correct,False,58.0,I am unsure if it is correct,True,KY,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,3.0,46.0,True,0.6029411764705882,3,1,2,5,365,16
14,False,50.0,I am unsure if it is correct,False,50.0,I am unsure if it is correct,True,OK,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,10.0,44.0,False,0.8481012658227848,3,1,2,5,365,35
15,True,100.0,It is certainly correct,True,90.0,I am unsure if it is correct,True,VA,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,14.0,31.0,True,0.8795180722891566,3,1,2,5,365,44
17,False,69.0,I am unsure if it is correct,True,80.0,I am unsure if it is correct,True,LA,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,6.0,14.0,False,0.8142857142857143,3,1,2,5,365,17
19,False,60.0,I am unsure if it is correct,False,59.0,I am unsure if it is correct,True,MS,e38c3454-a630-de8e-714c-02a7b3166982,Male,Moderate,College,55-64,12.0,12.0,False,0.881578947368421,3,1,2,5,365,24
0,False,100.0,It is certainly correct,False,100.0,It is certainly correct,True,NM,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,4.0,97.0,False,0.7671232876712328,2,1,2,3,270,31
3,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,RI,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,1.0,89.0,True,0.9411764705882353,2,1,2,3,270,38
4,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,MA,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,15.0,50.0,True,0.821917808219178,2,1,2,3,270,18
5,True,100.0,It is certainly correct,False,72.0,I am unsure if it is correct,True,NC,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,1.0,87.0,True,0.8170731707317073,2,1,2,3,270,26
6,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,TX,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,13.0,42.0,True,0.8095238095238095,2,1,2,3,270,42
8,False,51.0,I am unsure if it is correct,False,59.0,I am unsure if it is correct,True,KY,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,12.0,71.0,False,0.6029411764705882,2,1,2,3,270,16
9,True,99.0,It is certainly correct,True,100.0,It is certainly correct,True,AL,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,3.0,84.0,True,0.7926829268292683,2,1,2,3,270,1
11,True,100.0,It is certainly correct,False,68.0,I am unsure if it is correct,True,MI,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,15.0,73.0,True,0.726027397260274,2,1,2,3,270,21
12,False,52.0,I am unsure if it is correct,False,51.0,I am unsure if it is correct,True,WI,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,11.0,80.0,False,0.8169014084507042,2,1,2,3,270,47
13,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,KS,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,1.0,42.0,True,0.75,2,1,2,3,270,15
14,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,WY,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,1.0,70.0,True,0.7922077922077922,2,1,2,3,270,49
15,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,OK,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,11.0,27.0,True,0.8481012658227848,2,1,2,3,270,35
18,True,100.0,It is certainly correct,True,100.0,It is certainly correct,True,WA,aa08a04f-8baa-4a9f-f557-9623d0bc1690,Male,Conservative,College,35-44,2.0,65.0,True,0.6944444444444444,2,1,2,3,270,46
2,True,99.0,It is certainly correct,False,93.0,It is probably correct,True,WI,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,9.0,90.0,True,0.8169014084507042,1,2,1,3,154,47
6,True,99.0,It is certainly correct,True,99.0,It is certainly correct,True,MA,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,7.0,15.0,True,0.821917808219178,1,2,1,3,154,18
8,False,55.0,I am unsure if it is correct,False,91.0,It is probably correct,True,NM,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,2.0,83.0,False,0.7671232876712328,1,2,1,3,154,31
9,False,72.0,I am unsure if it is correct,True,90.0,It is probably correct,True,PA,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,12.0,94.0,False,0.6865671641791045,1,2,1,3,154,37
11,True,100.0,It is certainly correct,True,93.0,It is probably correct,True,MI,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,9.0,9.0,True,0.726027397260274,1,2,1,3,154,21
12,False,57.0,I am unsure if it is correct,False,95.0,It is probably correct,True,VT,62145ee8-d77f-b4d4-e9f0-683f2e19ca3f,Female,Very Conservative,Graduate Degree or Higher,35-44,12.0,70.0,False,0.7435897435897436,1,2,1,3,154,45
