,cintID,id_recode,sessionID,Duration,question,state,age,politics,education,gender,answer,asocial_response,asocial_conf,asocial_qual,TrueChance,neighbors,p,condition,social_response,social_conf,social_qual,social_correct_ref,pol_recode,social_correct,asocial_correct,p_recode,cond_recode,state_recode
0,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,WA_F_1,WA,35-44,Very Conservative,Graduate Degree or Higher,Male,False,False,87,It is probably correct,0.0,10,0.98,unpoliticized,True,82,It is probably correct,1.0,0,False,True,True,0,9
1,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,KY_T_1,KY,35-44,Very Conservative,Graduate Degree or Higher,Male,True,False,68,It is probably correct,57.0,6,0.5,unpoliticized,True,68,It is probably correct,0.0,0,True,False,False,0,1
2,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,MI_F_1,MI,35-44,Very Conservative,Graduate Degree or Higher,Male,False,True,92,I am unsure if it is correct,32.0,14,0.5,left,True,67,It is probably correct,0.0,0,False,False,False,1,2
3,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,MO_T_1,MO,35-44,Very Conservative,Graduate Degree or Higher,Male,True,False,67,It is probably correct,2.0,10,0.98,unpoliticized,False,71,It is probably correct,0.0,0,False,False,True,0,4
4,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,ND_F_1,ND,35-44,Very Conservative,Graduate Degree or Higher,Male,False,False,88,It is certainly correct,0.0,11,0.98,right,True,70,It is probably correct,1.0,0,False,True,True,2,6
5,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,NJ_F_1,NJ,35-44,Very Conservative,Graduate Degree or Higher,Male,False,False,76,It is probably correct,0.0,7,0.98,right,True,68,It is probably correct,1.0,0,False,True,True,2,7
6,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,MT_F_1,MT,35-44,Very Conservative,Graduate Degree or Higher,Male,False,False,83,It is probably correct,88.0,7,0.5,unpoliticized,True,66,It is probably correct,1.0,0,False,True,False,0,5
7,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,FL_F_1,FL,35-44,Very Conservative,Graduate Degree or Higher,Male,False,True,69,It is probably correct,93.0,5,0.98,left,True,65,I am unsure if it is correct,0.0,0,False,False,True,1,0
8,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,MN_T_1,MN,35-44,Very Conservative,Graduate Degree or Higher,Male,True,False,68,It is probably correct,86.0,12,0.5,left,False,85,It is probably correct,0.0,0,False,False,False,1,3
9,f7aff24b-cef1-39f1-c843-c48431b18d9e,949,80c476af-678b-4b40-a701-3c28d447a9b9_S1,262,OH_F_1,OH,35-44,Very Conservative,Graduate Degree or Higher,Male,False,False,83,It is certainly correct,0.0,8,0.98,right,False,83,It is probably correct,1.0,0,True,True,True,2,8
10,759d36b4-0019-fffd-fabc-00b6b0523b67,459,8bc05afa-9d99-4491-8c63-4e41c9af22f3_S1,286,ND_T_1,ND,18-24,Very Conservative,Some College,Female,True,True,90,It is probably correct,19.0,7,0.5,right,False,91,It is probably correct,1.0,0,False,True,False,2,6
11,759d36b4-0019-fffd-fabc-00b6b0523b67,459,8bc05afa-9d99-4491-8c63-4e41c9af22f3_S1,286,MN_T_1,MN,18-24,Very Conservative,Some College,Female,True,True,66,I am unsure if it is correct,62.0,9,0.5,unpoliticized,True,88,It is probably correct,1.0,0,True,True,False,0,3
12,759d36b4-0019-fffd-fabc-00b6b0523b67,459,8bc05afa-9d99-4491-8c63-4e41c9af22f3_S1,286,OH_T_1,OH,18-24,Very Conservative,Some College,Female,True,True,84,I am unsure if it is correct,10.0,12,0.98,unpoliticized,True,88,It is probably correct,1.0,0,True,True,True,0,8
13,759d36b4-0019-fffd-fabc-00b6b0523b67,459,8bc05afa-9d99-4491-8c63-4e41c9af22f3_S1,286,MI_F_1,MI,18-24,Very Conservative,Some College,Female,False,True,90,It is probably correct,0.0,7,0.98,unpoliticized,True,87,It is probably correct,0.0,0,False,False,True,0,2
14,759d36b4-0019-fffd-fabc-00b6b0523b67,459,8bc05afa-9d99-4491-8c63-4e41c9af22f3_S1,286,MT_T_1,MT,18-24,Very Conservative,Some College,Female,True,True,96,It is probably correct,30.0,4,0.5,right,True,85,It is probably correct,1.0,0,True,True,False,2,5
15,759d36b4-0019-fffd-fabc-00b6b0523b67,459,8bc05afa-9d99-4491-8c63-4e41c9af22f3_S1,286,NJ_F_1,NJ,18-24,Very Conservative,Some College,Female,False,False,92,It is probably correct,96.0,3,0.98,unpoliticized,False,88,It is probably correct,1.0,0,True,True,True,0,7
