,conf,answer,question,correct,correct_conf,incorrect_conf,difficulty,pol_recode,DEM_1,DEM_2,DEM_3,DEM_4,BSS,WSS,EIS,HBS,NUMS,RIS,CintID,edu_recode,id_recode
2,0.21999999999999997,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,25-34,Liberal,College,Male,1.0,3,1.4,4,3,2.0,28bed585-e303-9564-5492-e39545a3d55b,3,73
3,0.8799999999999999,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,0,25-34,Very Conservative,Graduate Degree or Higher,Male,2.3333333333333335,0,2.4,2,0,1.6,11587f4b-61e3-301d-b25c-4973334bd79d,4,36
6,0.28,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,18-24,Moderate,Some High School,Female,0.0,1,2.0,0,1,2.0,f0319e12-096b-b176-db05-a81a1422bcc6,0,467
7,0.9199999999999999,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,1,55-64,Conservative,Some College,Female,1.3333333333333333,4,2.8,2,3,2.0,811ae5ae-103d-a896-f0b9-d331c393a673,2,254
9,0.6000000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,4,18-24,Very Liberal,Some College,Female,1.3333333333333333,4,0.8,2,3,1.2,7a542be2-4bf1-2fd3-bef5-1d7f0785fc36,2,235
12,0.74,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,25-34,Moderate,Graduate Degree or Higher,Female,3.6666666666666665,0,1.6,1,1,2.4,c36261c6-71d7-464e-88d1-5749c113c710,4,377
13,0.6000000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,35-44,Moderate,Graduate Degree or Higher,Female,3.0,0,1.6,1,0,2.4,fd1d0bf4-6be5-0fe2-f7e3-3d369dd05a20,4,493
14,0.3400000000000001,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,55-64,Liberal,High School,Female,2.0,2,1.8,2,1,2.2,0e6463a2-0a1d-6ad9-8eb5-554f89343c7f,1,28
19,0.26,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,1,45-54,Conservative,Graduate Degree or Higher,Female,0.5,1,1.8,2,0,1.2,ae586a39-4d1c-62f1-b22e-5c73ec34fbed,4,327
20,0.10000000000000009,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,45-54,Moderate,High School,Female,1.3333333333333333,1,3.2,2,1,3.6,a47906dc-0138-0e80-93cb-30524c103709,1,310
22,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,4,45-54,Very Liberal,College,Female,2.3333333333333335,2,2.8,3,1,2.8,25cb869e-6b26-8dd2-2189-b0e0fb21de44,3,69
23,0.30000000000000004,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,35-44,Liberal,Some College,Female,2.1666666666666665,4,2.8,2,2,3.0,6344d126-858b-db35-ae31-e76f1cfcb3f3,2,188
24,0.0,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,45-54,Liberal,College,Female,3.0,1,3.0,2,2,2.6,fe00c0e9-6e38-cb9e-eafe-f62b450f5f3e,3,495
26,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,1,45-54,Conservative,High School,Male,1.5,2,2.4,1,3,1.0,0e416425-b3ff-6cb1-ab32-526a280c85f2,1,27
27,0.30000000000000004,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,1,55-64,Conservative,Graduate Degree or Higher,Female,1.1666666666666667,5,1.6,2,3,1.0,a710d67c-c201-9923-fa6b-e03b8cacf4a9,4,315
29,1.0,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,55-64,Moderate,Graduate Degree or Higher,Male,2.3333333333333335,2,2.4,0,2,2.0,f9773bde-acc4-729a-9dc9-0d5c3faf9b09,4,485
30,0.8,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,35-44,Liberal,Graduate Degree or Higher,Male,2.5,1,2.0,2,1,1.8,df182444-c4ff-2d58-f253-1233b18cf192,4,418
32,0.6200000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,1,45-54,Conservative,College,Male,2.5,5,2.4,1,3,3.0,6d86b131-823b-b9c6-6c26-87add6ca34ea,3,207
33,0.8200000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,65+,Moderate,Some College,Female,1.6666666666666667,4,2.4,2,2,2.8,9c860d3d-c59e-44d6-6c2a-3badfb3df3e8,2,294
34,0.19999999999999996,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,25-34,Liberal,Graduate Degree or Higher,Female,2.5,2,0.6,2,3,3.0,087d662f-839c-63f8-9738-505673aab2fa,4,10
37,0.19999999999999996,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,4,25-34,Very Liberal,College,Female,2.8333333333333335,3,1.4,0,3,1.8,408c1361-ec42-fcb4-6676-25a73142dabd,3,130
38,0.06000000000000005,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,0,18-24,Very Conservative,High School,Female,2.0,0,2.2,3,0,2.2,2d42a558-bf82-5346-a84f-93693df7898c,1,82
40,0.8200000000000001,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,65+,Liberal,High School,Female,2.0,2,3.0,2,0,1.6,c2aa7d43-78dc-33da-4054-4b81371d4e96,1,374
42,0.1200000000000001,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,1,25-34,Conservative,College,Female,2.0,0,1.6,2,1,1.4,1fd960e5-d3f4-9676-33f2-56f280c76a33,3,54
43,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,0,25-34,Very Conservative,College,Female,3.0,1,1.6,2,1,2.4,6b7e0dc4-671d-fab8-94d3-3b55e516d11c,3,204
44,0.0,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,55-64,Liberal,College,Female,2.5,4,1.4,1,2,3.0,643f4c36-8811-ac95-d521-7a148b023eeb,3,193
48,0.8400000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,0,45-54,Very Conservative,High School,Female,2.8333333333333335,0,1.6,1,0,2.6,f256c035-e677-37b5-bc22-f67d780353e0,1,471
49,0.17999999999999994,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,55-64,Liberal,Some College,Female,1.0,3,2.8,2,3,2.8,3783e857-ea8e-08c1-6940-dea8856fdd8a,2,107
54,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,45-54,Moderate,College,Female,2.5,0,2.8,3,1,3.8,759d39df-f899-cf9e-77c8-0fb684f3cf06,3,225
56,0.3400000000000001,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,1,65+,Conservative,High School,Female,3.3333333333333335,1,2.4,2,3,2.8,3e3db320-54d1-aecb-d737-851609cf62fd,1,126
57,0.43999999999999995,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,25-34,Moderate,High School,Female,2.3333333333333335,0,2.0,3,1,2.0,bb5b4a16-e2e5-bdca-b101-7c70d58055c3,1,356
58,0.45999999999999996,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,1,18-24,Conservative,High School,Female,2.0,2,2.6,2,1,2.2,9ae78159-aa77-7693-0d4e-b7cc22839d8e,1,292
60,0.52,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,4,55-64,Very Liberal,College,Female,0.16666666666666666,5,2.2,2,3,2.4,87583f77-283f-cca2-b260-0973d6101ea2,3,264
62,0.15999999999999992,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,18-24,Liberal,High School,Female,3.5,1,3.2,1,1,2.4,d42d85e7-b8bb-7305-c7f0-b306b4b80e32,1,400
64,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,35-44,Liberal,College,Female,3.5,2,3.8,1,3,3.2,d51fcad5-7be9-309b-f5c2-fc346f9f4d0f,3,402
65,0.8200000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,35-44,Moderate,Graduate Degree or Higher,Male,3.0,3,2.8,1,3,2.6,4f578703-3936-67e4-bd14-b17ce42d08d8,4,152
67,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,55-64,Moderate,Graduate Degree or Higher,Female,1.3333333333333333,0,2.0,2,1,1.6,fbae208c-80cf-cf34-449b-16854923315b,4,489
70,0.17999999999999994,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,1,45-54,Conservative,Some College,Male,1.8333333333333333,2,2.6,4,3,3.4,6ebb3639-feb3-6950-512e-00904f6bc8ed,2,209
71,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,0,25-34,Very Conservative,College,Male,3.0,0,1.6,2,3,2.6,ac747cc8-3818-8d3e-9edf-4a5f36ea0d1c,3,324
72,0.30000000000000004,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,25-34,Moderate,Graduate Degree or Higher,Male,3.8333333333333335,1,2.2,1,0,2.2,10e8ec4d-ed42-160a-025a-dac3db245a9b,4,34
73,0.3999999999999999,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,18-24,Moderate,College,Female,2.0,2,1.8,1,3,1.8,7fbf250f-4abf-dc47-5518-1394bbbe7dd8,3,251
75,0.45999999999999996,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,1,35-44,Conservative,Graduate Degree or Higher,Male,1.6666666666666667,1,1.8,0,1,2.6,0e3515d7-0602-ecb9-dfc0-231e3639b000,4,26
76,0.19999999999999996,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,65+,Liberal,College,Female,2.0,2,2.4,1,2,1.6,d7dc4496-1e46-a3c4-3681-72f7eb622843,3,406
77,0.3799999999999999,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,18-24,Moderate,College,Female,1.0,2,2.8,3,2,1.6,f765279f-bc96-d635-8f88-114e219c8b4b,3,481
78,0.54,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,45-54,Liberal,College,Male,2.0,4,1.4,1,3,2.6,3a9ee537-d757-12e0-7420-d3b50123e0e1,3,117
79,0.8,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,55-64,Moderate,Some College,Male,2.1666666666666665,1,2.2,0,3,2.0,2c7e9451-d7fc-9e43-9446-a25530cb6185,2,78
80,0.8,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,0,65+,Very Conservative,Graduate Degree or Higher,Male,0.8333333333333334,3,3.0,4,3,1.8,47004ca6-7ab5-a098-eab1-7a2b0fa54371,4,141
87,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,45-54,Moderate,High School,Female,1.8333333333333333,1,2.4,1,2,1.8,e1fd7221-94a0-3a93-1736-44d63f01a2fc,1,427
88,0.0,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,1,25-34,Conservative,College,Female,2.6666666666666665,1,3.0,0,1,2.8,75f7db15-987e-2afd-1d02-eddc110cafcd,3,226
89,0.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,0,65+,Very Conservative,Some College,Female,1.1666666666666667,4,2.0,1,1,1.8,a2a3d1eb-5e19-98e0-49fc-e788d5ab683e,2,307
94,0.3400000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,3,35-44,Liberal,College,Female,1.3333333333333333,2,2.4,2,0,2.2,e62035ca-2d25-cd01-cadd-030b91109b1c,3,440
98,0.3799999999999999,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,25-34,Liberal,College,Female,1.6666666666666667,4,3.0,2,3,3.2,c0d8f090-8ab5-f85e-3287-c6f39abebc44,3,368
99,0.6399999999999999,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,3,25-34,Liberal,College,Female,2.6666666666666665,1,1.8,0,0,2.2,4bdf56be-c75a-acd9-35a9-60f4a07c716b,3,148
100,0.8200000000000001,False,Russia_False,True,74.44897959183673,82.27814569536424,0.39357429718875503,2,55-64,Moderate,Some College,Female,2.8333333333333335,3,2.6,0,2,2.4,2fd9c347-48fc-2f44-3350-f5f220f3fe9b,2,89
101,1.0,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,65+,Moderate,Some College,Male,0.0,3,3.0,1,3,1.6,09b9972c-0009-7a12-533b-a1925907b7f9,2,12
103,0.8400000000000001,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,2,35-44,Moderate,Graduate Degree or Higher,Female,4.0,0,2.0,1,0,2.0,a1a112d5-bb5f-e360-4bc2-248a187d0d01,4,303
106,0.72,True,Russia_False,False,74.44897959183673,82.27814569536424,0.39357429718875503,4,25-34,Very Liberal,Some College,Female,1.8333333333333333,2,2.4,1,3,1.2,7479932e-108d-7264-9339-a552a29c26fb,2,222
